atlasId,atlasName,cohortId,name,shinyName,shinyOrder
1088,"[COVID ACE ID55 v2] Prevalent users of ACE inhibitors or ARBs (monotherapy) with COVID-19, history of hypertension",1088,COVID_ACE_ID55v2,ACE/ARB mono,2
1090,"[COVID ACE ID54 v2] Prevalent users of dCCBs (monotherapy) with COVID-19, history of hypertension",1090,COVID_ACE_ID54v2,CCB mono,3
1098,"[LEGEND HTN v2] Total cardiovascular disease events",1098,LEGEND_CVE,CVE,2
1097,"[COVID ID27 v2] Hospitalizations with pneumonia or ARDS or sepsis or AKI requiring intensive services or resulting in death in 30d",1097,COVID_ID27v2,Intensive services or death,1
1092,"[COVID ACE ID53 v2] Prevalent users of thiazide/thiazide-like diuretics (monotherapy) with COVID-19, history of hypertension",1092,COVID_ACE_ID53v2,THZ mono,4
1095,"[COVID ACE ID62 v2] Prevalent users of dCCBs or thiazide/thiazide-like duretics (monotherapy) with COVID-19, history of hypertension",1095,COVID_ACE_ID62v2,CCB/THZ mono,5
1071,"[COVID ACE ID51 v2] Prevalent users of ACE inhibitors (monotherapy) with COVID-19, history of hypertension",1071,COVID_ACE_ID51v2,ACE mono,0
1087,"[COVID ACE ID52 v2] Prevalent users of ARBs (monotherapy) with COVID-19, history of hypertension",1087,COVID_ACE_ID52v2,ARB mono,1
1089,"[COVID ACE ID60 v2] Prevalent users of ACE inhibitors or ARBs (monotherapy), hospitalized with COVID-19, history of hypertension",1089,COVID_ACE_ID60v2,ACE/ARB mono hospitalized,22
1091,"[COVID ACE ID59 v2] Prevalent users of dCCBs (monotherapy), hospitalized with COVID-19, history of hypertension",1091,COVID_ACE_ID59v2,CCB mono hospitalized,23
1094,"[COVID ACE ID58 v2] Prevalent users of thiazide/thiazide-like duretics (monotherapy), hospitalized with COVID-19, history of hypertension",1094,COVID_ACE_ID58v2,THZ mono hospitalized,24
1096,"[COVID ACE ID61 v2] Prevalent users of dCCBs or thiazide/thiazide-like duretics (monotherapy), hospitalized with COVID-19, history of hypertension",1096,COVID_ACE_ID61v2,CCB/THZ mono hospitalized,25
1086,"[COVID ACE ID57 v2] Prevalent users of ARBs (monotherapy), hospitalized with COVID-19, history of hypertension",1086,COVID_ACE_ID57v2,ARB mono hospitalized,21
1072,"[COVID ACE ID56 v2] Prevalent users of ACE inhibitors (monotherapy), hospitalized with COVID-19, history of hypertension",1072,COVID_ACE_ID56v2,ACE mono hospitalized,20
1077,"[COVID ACE ID50 v2] Prevalent users of ACE inhibitors or ARBs (including non-monotherapy) with COVID-19, history of hypertension",1077,COVID_ACE_ID50v2,ACE/ARB +combo,12
1079,"[COVID ACE ID49 v2] Prevalent users of dCCBs (including non-monotherapy) with COVID-19, history of hypertension",1079,COVID_ACE_ID49v2,CCB +combo,13
1082,"[COVID ACE ID48 v2] Prevalent users of thiazide/thiazide-like duretics (including non-monotherapy) with COVID-19, history of hypertension",1082,COVID_ACE_ID48v2,THZ +combo,14
1084,"[COVID ACE ID63 v2] Prevalent users of dCCBs or thiazide/thiazide-like duretics (including non-monotherapy) with COVID-19, history of hypertension",1084,COVID_ACE_ID63v2,CCB/THZ +combo,15
1075,"[COVID ACE ID47 v2] Prevalent users of ARBs (including non-monotherapy) with COVID-19, history of hypertension",1075,COVID_ACE_ID47v2,ARB +combo,11
1073,"[COVID ACE ID46 v2] Prevalent users of ACE inhibitors (including non-monotherapy) with COVID-19, history of hypertension",1073,COVID_ACE_ID46v2,ACE +combo,10
1078,"[COVID ACE ID45 v2] Prevalent users of ACE inhibitors or ARBs (including non-monotherapy), hospitalized with COVID-19, history of hypertension",1078,COVID_ACE_ID45v2,ACE/ARB +combo hospitalized,32
1083,"[COVID ACE ID43 v2] Prevalent users of thiazide/thiazide-like duretics (including non-monotherapy), hospitalized with COVID-19, history of hypertension",1083,COVID_ACE_ID43v2,THZ +combo hospitalized,34
1080,"[COVID ACE ID44 v2] Prevalent users of dCCBs (including non-monotherapy), hospitalized with COVID-19, history of hypertension",1080,COVID_ACE_ID44v2,CCB +comb hospitalized,33
1085,"[COVID ACE ID64 v2] Prevalent users of dCCBs or thiazide/thiazide-like duretics (including non-monotherapy), hospitalized with COVID-19, history of hypertension",1085,COVID_ACE_ID64v2,CCB/THZ +combo hospitalized,35
1076,"[COVID ACE ID42 v2] Prevalent users of ARBs (including non-monotherapy), hospitalized with COVID-19, history of hypertension	",1076,COVID_ACE_ID42v2,ARB +combo hospitalized,31
1074,"[COVID ACE ID41 v2] Prevalent users of ACE inhibitors (including non-monotherapy), hospitalized with COVID-19, history of hypertension",1074,COVID_ACE_ID41v2,ACE +combo hospitalized,30
