targetId,comparatorId,outcomeId,outcomeName,type
159,162,434165,Abnormal cervical smear,outcome
159,162,436409,Abnormal pupil,outcome
159,162,199192,Abrasion and/or friction burn of trunk without infection,outcome
159,162,4088290,Absence of breast,outcome
159,162,4092879,Absent kidney,outcome
159,162,436634,Acariasis,outcome
159,162,44783954,Acid reflux,outcome
159,162,75911,Acquired hallux valgus,outcome
159,162,137951,Acquired keratoderma,outcome
159,162,77965,Acquired trigger finger,outcome
159,162,376707,Acute conjunctivitis,outcome
159,162,4103640,Amputated foot,outcome
159,162,432595,Amyloidosis,outcome
159,162,73241,Anal and rectal polyp,outcome
159,162,437082,Ankylosing spondylitis,outcome
159,162,77650,Aseptic necrosis of bone,outcome
159,162,378424,Astigmatism,outcome
159,162,374923,Bell's palsy,outcome
159,162,4110709,Benign epithelial neoplasm of skin,outcome
159,162,133655,Burn of forearm,outcome
159,162,73560,Calcaneal spur,outcome
159,162,434327,Cannabis abuse,outcome
159,162,4213540,Cervical somatic dysfunction,outcome
159,162,381581,Chalazion,outcome
159,162,140842,Changes in skin texture,outcome
159,162,438531,Chondromalacia,outcome
159,162,81378,Chondromalacia of patella,outcome
159,162,432303,Cocaine abuse,outcome
159,162,4201390,Colostomy present,outcome
159,162,46269889,Complication due to Crohn's disease,outcome
159,162,134438,Contact dermatitis,outcome
159,162,78619,Contusion of knee,outcome
159,162,201606,Crohn's disease,outcome
159,162,260134,Croup,outcome
159,162,76786,Derangement of knee,outcome
159,162,4115402,Difficulty sleeping,outcome
159,162,443767,Disorder of eye due to diabetes mellitus,outcome
159,162,45757370,Disproportion of reconstructed breast,outcome
159,162,433111,Effects of hunger,outcome
159,162,441589,Endocarditis,outcome
159,162,200775,Endometrial hyperplasia,outcome
159,162,433527,Endometriosis,outcome
159,162,73008,Enthesopathy,outcome
159,162,4249170,Epicondylitis,outcome
159,162,4170770,Epidermoid cyst,outcome
159,162,4345472,Epstein-Barr virus disease,outcome
159,162,4092896,Feces contents abnormal,outcome
159,162,259995,Foreign body in orifice,outcome
159,162,4050747,Fracture of upper limb,outcome
159,162,196456,Gallstone,outcome
159,162,40481632,Ganglion cyst,outcome
159,162,4166231,Genetic predisposition,outcome
159,162,74855,Genital herpes simplex,outcome
159,162,433577,Hammer toe,outcome
159,162,441818,Hemangioma,outcome
159,162,4231770,Hereditary thrombophilia,outcome
159,162,440329,Herpes zoster without complication,outcome
159,162,4012570,High risk sexual behavior,outcome
159,162,4038835,Hodgkin's disease,outcome
159,162,4012934,Homocystinuria,outcome
159,162,441788,Human papilloma virus infection,outcome
159,162,380688,Hypoglycemic coma,outcome
159,162,4254542,Hypopituitarism,outcome
159,162,4201717,Ileostomy present,outcome
159,162,374375,Impacted cerumen,outcome
159,162,140480,Impetigo,outcome
159,162,4344500,Impingement syndrome of shoulder region,outcome
159,162,139099,Ingrowing nail,outcome
159,162,444132,Injury of knee,outcome
159,162,434926,Iridocyclitis,outcome
159,162,196168,Irregular periods,outcome
159,162,75576,Irritable bowel syndrome,outcome
159,162,432593,Kwashiorkor,outcome
159,162,434203,Late effect of contusion,outcome
159,162,438329,Late effect of motor vehicle accident,outcome
159,162,443285,Lesion of cervix,outcome
159,162,195873,Leukorrhea,outcome
159,162,440638,Lyme disease,outcome
159,162,4083487,Macular drusen,outcome
159,162,4156115,Malignant neoplasm of endocrine gland,outcome
159,162,4103703,Melena,outcome
159,162,4134455,Mononeuropathy,outcome
159,162,4209423,Nicotine dependence,outcome
159,162,377572,Noise effects on inner ear,outcome
159,162,40480893,Nonspecific tuberculin test reaction,outcome
159,162,136368,Non-toxic multinodular goiter,outcome
159,162,4215978,Onychomycosis,outcome
159,162,140648,Onychomycosis due to dermatophyte,outcome
159,162,438130,Opioid abuse,outcome
159,162,75354,Osteochondropathy,outcome
159,162,192606,Paraplegia,outcome
159,162,4091513,Passing flatus,outcome
159,162,4112731,Polyp of intestine,outcome
159,162,4202045,Postviral fatigue syndrome,outcome
159,162,373478,Presbyopia,outcome
159,162,46286594,Problem related to lifestyle,outcome
159,162,439790,Psychalgia,outcome
159,162,81634,Ptotic breast,outcome
159,162,253954,Pulmonary tuberculosis,outcome
159,162,4087647,Rectal mass,outcome
159,162,380706,Regular astigmatism,outcome
159,162,438688,Sarcoidosis,outcome
159,162,4169984,Scar,outcome
159,162,141932,Senile hyperkeratosis,outcome
159,162,196236,Septic shock,outcome
159,162,254443,Sjögren's syndrome,outcome
159,162,36713918,Somatic dysfunction of lumbar region,outcome
159,162,443172,"Splinter of face, without major open wound",outcome
159,162,81151,Sprain of ankle,outcome
159,162,72748,Strain of rotator cuff capsule,outcome
159,162,378427,Tear film insufficiency,outcome
159,162,134461,Tietze's disease,outcome
159,162,437264,Tobacco dependence syndrome,outcome
159,162,4234533,Tonsillitis,outcome
159,162,4030042,Toxic goiter,outcome
159,162,81893,Ulcerative colitis,outcome
159,162,194083,Vaginitis and vulvovaginitis,outcome
159,162,140641,Verruca vulgaris,outcome
159,162,380038,Viral conjunctivitis,outcome
159,162,4291005,Viral hepatitis,outcome
159,162,4248870,Visceroptosis,outcome
159,162,440193,Wristdrop,outcome
159,162,4115367,Wrist joint pain,outcome
