targetId,comparatorId,outcomeIds,excludedCovariateConceptIds,includedCovariateConceptIds
137,138,123;110;139;122;91,,
137,140,123;110;139;122;91,,
137,141,123;110;139;122;91,,
138,140,123;110;139;122;91,,
138,141,123;110;139;122;91,,
142,140,123;110;139;122;91,,
142,141,123;110;139;122;91,,
143,144,123;110;139;122;91,,
143,145,123;110;139;122;91,,
143,146,123;110;139;122;91,,
144,145,123;110;139;122;91,,
144,146,123;110;139;122;91,,
147,145,123;110;139;122;91,,
147,146,123;110;139;122;91,,
147,148,123;110;139;122;91,,
144,148,123;110;139;122;91,,
143,148,123;110;139;122;91,,
142,149,123;110;139;122;91,,
138,149,123;110;139;122;91,,
137,149,123;110;139;122;91,,
